ticker,cik,filing_url,revenue_policy
NVDA,0001045810,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,Not Found
MSFT,0000789019,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,Not Found
AAPL,0000320193,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,Not Found
GOOGL,0001652044,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,Not Found
AMZN,0001018724,https://www.sec.gov/ix?doc=/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,Not Found
META,0001326801,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,Not Found
AVGO,0001730168,https://www.sec.gov/ix?doc=/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,Not Found
TSLA,0001318605,https://www.sec.gov/ix?doc=/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,Not Found
BRK-B,0001067983,https://www.sec.gov/ix?doc=/Archives/edgar/data/1067983/000095017025025210/brka-20241231.htm,Not Found
JPM,0000019617,https://www.sec.gov/ix?doc=/Archives/edgar/data/19617/000001961725000270/jpm-20241231.htm,Not Found
WMT,0000104169,https://www.sec.gov/ix?doc=/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,Not Found
V,0001403161,https://www.sec.gov/ix?doc=/Archives/edgar/data/1403161/000140316124000058/v-20240930.htm,Not Found
ORCL,0001341439,https://www.sec.gov/ix?doc=/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,Not Found
LLY,0000059478,https://www.sec.gov/ix?doc=/Archives/edgar/data/59478/000005947825000067/lly-20241231.htm,Not Found
SPY,0000884394,,Not Found
MA,0001141391,https://www.sec.gov/ix?doc=/Archives/edgar/data/1141391/000114139125000011/ma-20241231.htm,Not Found
NFLX,0001065280,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,Not Found
XOM,0000034088,https://www.sec.gov/ix?doc=/Archives/edgar/data/34088/000003408825000010/xom-20241231.htm,Not Found
JNJ,0000200406,https://www.sec.gov/ix?doc=/Archives/edgar/data/200406/000020040625000038/jnj-20241229.htm,Not Found
COST,0000909832,https://www.sec.gov/ix?doc=/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,Not Found
