company_name,ticker,cik,exchange,industry,sic_code,latest_revenue,revenue_period,revenue_growth_pct,gpt_revenue_method,gpt_accounting_standard,gpt_recognition_pattern,gpt_confidence,gpt_explanation,revenue_concepts_count,has_filing_context,url,analysis_date
NVIDIA CORP,N/A,1045810,N/A,Unknown,Unknown,130497000000,2025-01-26,114.2,ASC 606 Contract-based,ASC 606,Contract-based,8,"NVIDIA's revenue recognition likely follows ASC 606 due to its comprehensive framework for recognizing revenue from contracts with customers. Given the significant revenue growth of 114.2%, it suggests a structured approach to recognizing revenue as performance obligations are satisfied, which aligns with the contract-based recognition pattern under ASC 606.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,2025-09-02 16:34:32
MICROSOFT CORPORATION,N/A,789019,N/A,Unknown,Unknown,62484000000,2010-06-30,-74.33,Mixed approach,ASC 606,Mixed,7,"Microsoft Corporation's revenue recognition likely employs a mixed approach due to its diverse range of products and services, including software sales, cloud services, and subscriptions. Under ASC 606, revenue is recognized based on the transfer of control, which aligns with both point-in-time recognition for product sales and over-time recognition for subscription and service contracts. The significant revenue decline suggests potential challenges in maintaining growth, possibly impacting future revenue recognition practices.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,2025-09-02 16:34:39
Apple Inc.,N/A,320193,N/A,Unknown,Unknown,265595000000,2018-09-29,-76.32,ASC 606 Contract-based,ASC 606,Contract-based,8,"Apple Inc. primarily recognizes revenue from the sale of products and services under ASC 606, which emphasizes the identification of contracts with customers and the performance obligations within those contracts. Given the nature of Apple's business model, which includes hardware sales and service subscriptions, the contract-based approach aligns with their revenue recognition practices. The significant revenue drop suggests potential market challenges or shifts in consumer demand, but the underlying recognition method remains consistent with ASC 606.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,2025-09-02 16:34:45
Alphabet Inc.,N/A,1652044,N/A,Unknown,Unknown,257637000000,2021-12-31,41.15,Mixed approach,ASC 606,Mixed,8,"Alphabet Inc. likely employs a mixed approach to revenue recognition due to its diverse range of services, including advertising, cloud services, and other digital products. Under ASC 606, revenue is recognized when control of the goods or services is transferred to the customer, which can occur at a point in time or over time, depending on the nature of the transaction. The significant revenue growth indicates effective recognition practices aligned with the evolving nature of their business model.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,2025-09-02 16:35:11
"AMAZON.COM, INC.",N/A,1018724,N/A,Unknown,Unknown,637959000000,2024-12-31,10.99,ASC 606 Contract-based,ASC 606,Point-in-time,8,"Amazon's revenue recognition approach aligns with ASC 606, which emphasizes recognizing revenue when control of goods or services is transferred to customers. The description of revenue from contracts with customers indicates that revenue is recognized at a point in time, specifically when performance obligations are satisfied, which is consistent with the nature of retail transactions.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1018724/000101872425000004/amzn-20241231.htm,2025-09-02 16:35:38
"Meta Platforms, Inc.",N/A,1326801,N/A,Unknown,Unknown,40653000000,2017-12-31,47.09,ASC 606 Contract-based,ASC 606,Contract-based,8,"Meta Platforms, Inc. likely utilizes the ASC 606 standard, which emphasizes recognizing revenue when control of goods or services is transferred to customers, typically through contracts. Given the nature of Meta's business, which includes advertising and digital services, the contract-based approach aligns with their revenue model, allowing for recognition based on performance obligations fulfilled.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,2025-09-02 16:35:45
Broadcom Inc.,N/A,1730168,N/A,Unknown,Unknown,20848000000,2018-11-04,-73.89,ASC 606 Contract-based,ASC 606,Contract-based,7,"Broadcom Inc. likely utilizes the ASC 606 standard for revenue recognition, which emphasizes recognizing revenue based on the transfer of control of goods or services to customers. Given the nature of Broadcom's business in technology and semiconductors, it is reasonable to assume that their revenue is recognized when performance obligations are satisfied, aligning with a contract-based approach. The significant revenue decline suggests potential challenges in fulfilling these obligations or changes in market demand.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,2025-09-02 16:36:12
"Tesla, Inc.",N/A,1318605,N/A,Unknown,Unknown,97690000000,2024-12-31,0.95,ASC 606 Contract-based,ASC 606,Point-in-time,8,"Tesla recognizes revenue primarily from the sale of vehicles and energy products, which typically aligns with the point-in-time recognition method as control is transferred to the customer upon delivery. Given the nature of their sales and the application of ASC 606, which emphasizes the transfer of control, it is reasonable to conclude that Tesla employs a contract-based approach to revenue recognition.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,2025-09-02 16:36:39
BERKSHIRE HATHAWAY INC,N/A,1067983,N/A,Unknown,Unknown,371433000000,2024-12-31,1.91,Mixed approach,ASC 606,Mixed,7,"Berkshire Hathaway's revenue recognition likely employs a mixed approach due to its diverse business operations, which include insurance, manufacturing, and services. The recognition of revenue from insurance premiums and investment income aligns with ASC 606 principles, while sales from goods and services may follow point-in-time recognition. The overall complexity of its revenue streams supports a mixed pattern under the ASC 606 framework.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1067983/000095017025025210/brka-20241231.htm,2025-09-02 16:36:46
JPMorgan Chase & Co,N/A,19617,N/A,Unknown,Unknown,177556000000,2024-12-31,12.3,Mixed approach,ASC 606,Mixed,8,"JPMorgan Chase & Co recognizes revenue from various sources, including investment income and trading gains, which suggests a mixed approach to revenue recognition. The inclusion of both point-in-time and over-time recognition aligns with ASC 606, as it allows for the recognition of revenue based on the nature of the transactions and the timing of the earning process.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/19617/000001961725000270/jpm-20241231.htm,2025-09-02 16:37:13
Walmart Inc.,N/A,104169,N/A,Unknown,Unknown,680985000000,2025-01-31,5.07,Point-in-time,ASC 606,Point-in-time,8,"Walmart Inc. primarily recognizes revenue at the point of sale when goods are transferred to customers, which aligns with the ASC 606 standard. Given the nature of retail operations, where transactions are completed upon delivery of products, this method is appropriate for their revenue recognition approach.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,2025-09-02 16:37:39
VISA INC.,N/A,1403161,N/A,Unknown,Unknown,21846000000,2020-09-30,-4.92,Contract-based,ASC 606,Transaction-based,8,"VISA INC. primarily recognizes revenue through transaction-based methods, as it derives income from processing payments and related services. Under ASC 606, revenue is recognized when control of the service is transferred to the customer, which aligns with VISA's operational model of facilitating transactions between cardholders and merchants. The slight decline in revenue growth may indicate market challenges or increased competition in the payment processing industry.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1403161/000140316124000058/v-20240930.htm,2025-09-02 16:37:46
Oracle Corporation,N/A,1341439,N/A,Unknown,Unknown,57399000000,2025-05-31,8.38,Subscription,ASC 606,Over-time,8,"Oracle Corporation primarily operates in the software and cloud services industry, where revenue is often recognized over time as services are delivered. Given the significant revenue from subscription-based services, it aligns with ASC 606, which emphasizes recognizing revenue as performance obligations are satisfied over the contract term. The consistent revenue growth further supports this recognition approach.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1341439/000095017025087926/orcl-20250531.htm,2025-09-02 16:38:11
ELI LILLY AND COMPANY,N/A,59478,N/A,Unknown,Unknown,45042700000,2024-12-31,32.0,ASC 606 Contract-based,ASC 606,Contract-based,8,"ELI LILLY AND COMPANY likely utilizes the ASC 606 framework for revenue recognition, which is designed for companies that enter into contracts with customers. Given the nature of their business in pharmaceuticals, revenue is typically recognized when control of the product is transferred to the customer, aligning with the contract-based recognition pattern. The significant revenue growth suggests effective contract management and fulfillment processes under this standard.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/59478/000005947825000067/lly-20241231.htm,2025-09-02 16:38:38
Mastercard Incorporated,N/A,1141391,N/A,Unknown,Unknown,28167000000,2024-12-31,12.23,ASC 606 Contract-based,ASC 606,Contract-based,8,"Mastercard's revenue primarily arises from services rendered, such as transaction processing and related services, which aligns with the principles of ASC 606 that focus on recognizing revenue as performance obligations are satisfied. Given the nature of their business model, which involves contracts with clients for services, a contract-based recognition pattern is appropriate.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1141391/000114139125000011/ma-20241231.htm,2025-09-02 16:38:44
"Netflix, Inc.",N/A,1065280,N/A,Unknown,Unknown,39000966000,2024-12-31,15.65,Subscription,ASC 606,Over-time,9,"Netflix primarily operates on a subscription model, where revenue is recognized over the subscription period as services are rendered. Under ASC 606, this aligns with the over-time recognition pattern, as the customer receives and consumes the benefits of the service throughout the subscription term. The significant revenue growth further supports the effectiveness of this approach in capturing ongoing service delivery.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,2025-09-02 16:39:10
Exxon Mobil Corporation,N/A,34088,N/A,Unknown,Unknown,349585000000,2024-12-31,1.45,Mixed approach,ASC 606,Point-in-time,7,"Exxon Mobil Corporation's revenue primarily stems from the sale of goods (oil and gas products), which typically recognizes revenue at a point in time when control transfers to the customer. However, given the complexity of their operations, including services and investments, a mixed approach under ASC 606 is likely employed to accommodate various revenue streams. The slight revenue growth suggests stable demand, aligning with the recognition patterns observed in the industry.",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/34088/000003408825000010/xom-20241231.htm,2025-09-02 16:39:52
